what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1338576838871
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1338576838872
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1338576838873
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1338576838874
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1338576838874
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1338576838876
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1338576838877
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1338576838877
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1338576838877
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1338576838879
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1338576838879
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1338576838880
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1338576838880
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1338576838881
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1338576838882
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1338576838883
started,bundle,org.epic.perleditor,0.6.30,"org.epic.perleditor",1338576838884
os,sysinfo,,,"linux",1338576838889
arch,sysinfo,,,"x86_64",1338576838889
ws,sysinfo,,,"gtk",1338576838889
locale,sysinfo,,,"en_US",1338576838889
processors,sysinfo,,,"4",1338576838889
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1338576838889
java.runtime.version,sysinfo,,,"1.6.0_24-b24",1338576838889
java.specification.name,sysinfo,,,"Java Platform API Specification",1338576838889
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338576838889
java.specification.version,sysinfo,,,"1.6",1338576838889
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338576838889
java.version,sysinfo,,,"1.6.0_24",1338576838889
java.vm.info,sysinfo,,,"mixed mode",1338576838889
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1338576838889
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338576838889
